translated_description,label
verify user detail name check user name ad reset password advise user login check caller confirm able login issue resolve,0
skype appearing outlook calendar somebody advise correct ts kind,0
ca nt log vpn,0
unable access hr tool page,0
skype error,0
unable log engineering tool skype,0
event critical hostname  company com value mountpoint threshold oracle sid  erpdata srpsad  srpsad data perpsrpsad,1
ticket no employment status new non enter user name,0
unable disable add in outlook,0
ticket update inplant,0
engineering tool say connected unable submit report,0
hr tool site loading page correctly,0
unable login hr tool sgxqsuojr xwbesorf card,0
user want reset password,0
unable open payslip,0
ticket update inplant,0
unable login company vpn website try open new session use link able get help urgently work home tomorrow due month end closing,0
undock pc screen come back,0
erp sid  account lock,0
unable sign vpn,0
unable check payslip,0
issue able connect vpn home office couple hour ago connect work anymore get message session expire click link notng happen need help dynamic crm click chat live agent regard dynamic crm question click,0
unable connect vpn,0
user call vendor phone number,0
m able connect company network vpn check cc able upload result company network,0
erp sid  password reset,0
unable login hr tool check payslip,0
account lock,0
unable login hr tool,0
unable log erp sid,0
password reset collaboration platform,0
reset user password client  username xyz,0
duplication network gentle two device try share ip address try share     one printer hostname prtjc new display erp display use dhcp get address assign printer hard code guess address     get set static address dhcp need ts correct display pick another address,1
ess password reset,0
unable install flash player,0
ticket no employment status new non,0
erp sid  account unlock password reset,0
unable resolve ticket assign self status button dierppearing second,0
need install engineering tool pc,0
call,0
ticket update inplant,0
tablet  sound work,0
unable login system,0
issue resolve printer printer working need part replace reroute job queue printer printer wihuyjdo qpogfwkb indicate prqos need new part may deliver day inwarehouse tool need print printer ts need take care today since inwarehouse tool print pick outside vendor   pm usa daily basis contact anwmfvlgenkataramdntyana question job queue today,1
unable login hr tool etime,0
log hr tool etime single sign portal,0
password change password management tool nt update erp account,0
job job  fail job scheduler,0
window password change via password management tool,0
change telephony software close call agent keep acd call status,1
job mm zscr dly merktc fail job scheduler,0
call,0
vip need password management tool password password reset,0
reset scm software password global product markhtyete initiative,0
wle office account keep lock possible reason companysecure mobile device email setup incorrect password store window network password match,0
reset password ve lose option set skype meeting help ca t recall able bring back last time,0
enquiry impact reward get password reset,0
thank need dn material  plant plant    pcs,0
logon help unlock company net log password urgent,0
job mm zscr dly merktc fail job scheduler,0
job job  fail job scheduler,0
password change require user abc,0
issue outlook,0
urgent help try create dlv ts mm  sto    sto   sto plant  plant,0
apac company two switch since   et company ap chn apac company  access sw company ap chn apac company  access sw,0
error login sid  system verify user detail name user try password management tool pwd unlocked erp caller confirm able login issue resolve,0
delivery ca post n   plant plant  plant  issue display ekpo sobkz ekpo umsok ekpo kzbws ekpo kzvbr note  support check entry,0
job job  fail job scheduler,0
job job  fail job scheduler,0
job job  fail job scheduler,0
job job  fail job scheduler,0
kindly release locked computer user xyz user name fbmugzrl ahyiuqev,0
dell laptop speaker work require urgent help,0
user need help connect wireless connection home user connect lan home connect user system use teamviewer check network setting help user login home wireless disconnect home lan user confirm able login home wireless issue resolve,0
inc ticket update,0
job hr payroll na u fail job scheduler,1
job hr payroll na u fail job scheduler,1
job hr payroll na u fail job scheduler,1
uk th ave hard since type outagenetworkcircuitxpower specify type outage top cert siteno start pm et schedule maintenance power yno company powerprovider power schedule maintenance network company maint provider maintticket site backup circuit backup circuit active nano site contact tifie remote dialin na equipment reset na verify site work backup circuit nano vendor ticket globaltelecom verizon telecomvendor telecomvendor globaltelecom tifiedgsccert startedno additional diagstic,0
germany mx hard since type outagexnetworkcircuitpower specify type outage top cert siteno start etschedule maintenance power company powerprovider power schedule maintenance network company maint provider maintticket site backup circuit backup circuit active site contact tifie remote dialin equipment reset verify site work backup circuit vendor ticket globaltelecom verizon telecomvendor telecomvendor tifiedgsccert startedno additional diagstic,0
job job  fail job scheduler,0
erp sid  account lock,0
user issue log outlook rgtry available tomorrow around   work company campus request reach fix issue,0
job bwhrattr fail job scheduler,0
format service need monitor manufacturing drawing approve manufacture engineering tool stop show pdf original process erp production order interface vendor bas cr  rfc destination production order interface vendor view  accessible file stamp    bapireturnederrorexception stack trace jcoerp java    z wt jcoerp java    z wt jcoerp java    z wt cadagent objmod plmfile checkoutview plmfile java  plmfile java    z aju plm omf omforiginalsexport checkoutbapi omforiginalsexport java  omforiginalsexport java       z rb plm omf omforiginalsexport downloaddocumentoriginal omforiginalsexport java  omforiginalsexport java       z rb plm omf omforiginalsexport actionperforme omforiginalsexport java  omforiginalsexport java       z rb cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java  obrfunctioneventqueue java    z bda api bapi document checkoutview ts know problem fix,1
job apo bop plant a fail job scheduler,0
job job  fail job scheduler,0
